Date,RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
9/30/2016,81846,54722,WI,Eau Claire,Eau Claire,Augusta,10492,125200,0.00805153,0.026229508,0.029605263,0.035422785,0.018042162,2016-09,2016-Q3,125200,0,2016-09
9/30/2016,78145,46501,IN,Plymouth,Marshall,Argos,10493,95300,0.009533898,0.012752391,0.055370986,0.016297378,-0.004503416,2005-10,2005-Q4,101700,-0.062930187,2004-06
9/30/2016,63545,14471,NY,Rochester,Ontario,Richmond,10494,167000,0.003605769,0.01953602,0.041796631,0.02075295,0.018888522,2016-09,2016-Q3,167000,0,2016-09
9/30/2016,81570,54126,WI,Green Bay,Brown,Morrison,10495,171700,0.008220787,0.023241955,0.045039562,0.025619509,0.012728744,2016-09,2016-Q3,171700,0,2016-09
9/30/2016,60559,7046,NJ,New York,Morris,Mountain Lakes,10496,824700,0.002796693,0.021553326,0.076913032,0.023464222,-0.005344513,2005-11,2005-Q4,902500,-0.086204986,2004-11
9/30/2016,81180,53058,WI,Milwaukee,Waukesha,Nashotah,10497,378400,0.018025289,0.04617086,0.054920546,0.02576819,0.004440593,2016-09,2016-Q3,378400,0,2016-09
9/30/2016,60981,8092,NJ,New York,Ocean,Eagleswood Township,10498,259600,0.003478933,0.005422153,0.029750099,0.001082086,-0.03232862,2006-08,2006-Q3,361900,-0.282674772,2004-02
9/30/2016,97211,93285,CA,Bakersfield,Kern,Wofford Heights,10499,129000,-0.007692308,-0.032258065,-0.082503556,0.014738424,-0.040131608,2007-01,2007-Q1,201900,-0.361069837,
9/30/2016,81878,54757,WI,Eau Claire,Chippewa,New Auburn,10500,158300,0.010210593,0.01931745,0.05815508,0.012863433,0.0135983,2009-11,2009-Q4,168700,-0.061647896,2009-08
9/30/2016,74134,37051,TN,Clarksville,Montgomery,Cunningham,10501,123400,0.013968776,0.031772575,0.078671329,0.018305873,0.028245526,2016-09,2016-Q3,123400,0,2016-09
9/30/2016,97170,93235,CA,Visalia,Tulare,Ivanhoe,10502,120200,0.014345992,0.060900265,0.209255533,0.081075468,-0.030356441,2006-08,2006-Q3,164000,-0.267073171,2005-03
9/30/2016,78622,47459,IN,,Greene,Solsberry,10503,102000,-0.00390625,0.032388664,0.002949853,0.035437453,0.017090744,2005-09,2005-Q3,107800,-0.05380334,2004-09
9/30/2016,81195,53076,WI,Milwaukee,Washington,Richfield,10504,323800,0.001856436,0.009351621,0.062335958,0.0222939,0.012490789,2016-09,2016-Q3,323800,0,2016-09
9/30/2016,78348,46932,IN,Logansport,Cass,Galveston,10505,97800,-0.007106599,-0.017085427,0.081858407,0.043355895,-0.004682823,2005-09,2005-Q3,109800,-0.109289617,2004-01
9/30/2016,78939,48063,MI,Detroit,Saint Clair,Columbus,10506,188300,0.025599129,0.069278819,0.106995885,0.073631581,-0.00282342,2006-02,2006-Q1,219800,-0.143312102,2000-12
9/30/2016,64012,15312,PA,Pittsburgh,Washington,Independence,10507,120800,0.010878661,0.021132713,0.109274564,0.032595699,0.036630389,2016-09,2016-Q3,120800,0,2016-09
9/30/2016,99242,97385,OR,Salem,Marion,Sublimity,10508,285700,0.012402551,0.035144928,0.133730159,0.067496475,0.006754629,2016-09,2016-Q3,285700,0,2016-09
9/30/2016,78280,46797,IN,Fort Wayne,Allen,Woodburn,10509,116500,-0.000857633,-0.021008403,-0.009353741,0.020227587,-0.002872545,2006-09,2006-Q3,119900,-0.028356964,2005-07
9/30/2016,81173,53048,WI,Beaver Dam,Dodge,Lomira,10510,138500,0.006540698,0.022895126,0.032811335,0.015101172,0.000434248,2005-10,2005-Q4,144300,-0.04019404,2005-06
9/30/2016,74223,37183,TN,Shelbyville,Bedford,Wartrace,10511,183800,0.001634877,0.036076663,0.184278351,0.073874159,0.027667872,2016-09,2016-Q3,183800,0,2016-09
9/30/2016,96542,91906,CA,San Diego,San Diego,Campo,10512,275000,0.027653214,0.05973025,0.164760695,0.113847324,,2016-09,2016-Q3,275000,0,2016-09
9/30/2016,78641,47520,IN,,Perry,Cannelton,10513,77600,0.005181347,0.037433155,0.11976912,0.035117636,0.014493444,2005-07,2005-Q3,79300,-0.021437579,2004-11
9/30/2016,97146,93202,CA,Hanford,Kings,Armona,10514,134000,-0.004457652,-0.002233805,0.076305221,0.04799639,-0.025446758,2006-12,2006-Q4,175500,-0.236467236,2005-01
9/30/2016,68559,25315,WV,Charleston,Kanawha,Marmet,10515,73200,0.006877579,0.015256588,0.084444444,0.000821694,0.01641735,2016-09,2016-Q3,73200,0,2016-09
9/30/2016,75502,40056,KY,Louisville/Jefferson County,Oldham,Pewee Valley,10516,203200,0.016508254,0.050129199,0.129516398,0.047658077,0.017819825,2016-09,2016-Q3,203200,0,2016-09
9/30/2016,78470,47161,IN,Louisville/Jefferson County,Harrison,New Salisbury,10517,127400,0.007911392,0.03493095,0.04511895,0.017003638,0.012425567,2016-09,2016-Q3,127400,0,2016-09
9/30/2016,77858,45850,OH,Lima,Allen,Harrod,10518,128500,0,0.01340694,0.043866775,0.03232992,0.014019093,2016-09,2016-Q3,128500,0,2016-09
9/30/2016,64452,16115,PA,Pittsburgh,Beaver,Darlington Township,10519,148900,0.013614704,-0.005344021,0.082909091,0.054867639,0.02643896,2016-05,2016-Q2,150300,-0.009314704,2016-05
9/30/2016,91876,77364,TX,,San Jacinto,Point Blank,10520,155200,0.018372703,0.042310275,0.170437406,0.037030401,,2016-09,2016-Q3,155200,0,2016-09
9/30/2016,70479,29439,SC,Charleston,Charleston,Folly Beach,10521,634300,0.007785192,0.028038898,0.053654485,0.041180303,-0.001003426,2006-12,2006-Q4,648100,-0.02129301,2006-06
9/30/2016,63396,14062,NY,Jamestown,Chautauqua,Hanover,10522,84700,0.004744958,0.019253911,0.034188034,0.022992201,0.007246389,2016-09,2016-Q3,84700,0,2016-09
9/30/2016,63746,14812,NY,Elmira,Chemung,Catlin,10523,81400,0.01369863,0.03562341,-0.012135922,-0.000490677,0.02826338,2015-04,2015-Q2,86000,-0.053488372,2014-05
9/30/2016,67197,22213,VA,Washington,Arlington,Arlington,10524,743000,-0.003487124,-0.007348029,0.035973229,0.045534035,0.019253108,2016-06,2016-Q2,748500,-0.007348029,2016-04
9/30/2016,68171,24486,VA,Staunton,Augusta,Weyers Cave,10525,180900,0.005,0.012311136,0.013445378,0.019064675,-0.004001178,2008-04,2008-Q2,212600,-0.149106303,2005-06
9/30/2016,85047,61547,IL,Peoria,Peoria,Mapleton,10526,183000,0.001094092,0.00660066,0.046910755,0.022915613,0.011889419,2016-09,2016-Q3,183000,0,2016-09
9/30/2016,83314,57469,SD,,Spink,Redfield,10527,83900,-0.010613208,-0.046590909,0.136856369,0.052049549,0.070630498,2003-06,2003-Q2,90000,-0.067777778,2003-03
9/30/2016,63294,13787,NY,Binghamton,Broome,Colesville,10528,94700,-0.007337526,-0.004206099,-0.103219697,-0.005402352,0.006566879,2015-08,2015-Q3,105900,-0.105760151,2012-12
9/30/2016,96207,90704,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Avalon,10529,613200,-0.002602472,-0.010488946,-0.102984201,0.039425535,-0.018208294,2006-09,2006-Q3,736900,-0.167865382,2005-04
9/30/2016,64481,16157,PA,New Castle,Lawrence,New Beaver,10530,102800,-0.000971817,-0.008678881,0.156355456,0.066802527,,2008-12,2008-Q4,116300,-0.116079106,
9/30/2016,76688,43447,OH,Toledo,Wood,Millbury,10531,130200,0.008520527,0.024390244,0.054251012,0.016111352,-0.001372077,2006-05,2006-Q2,136000,-0.042647059,2005-12
9/30/2016,60328,6469,CT,Hartford,Middlesex,East Haddam,10532,206400,0.010773751,0.030454319,0.049847406,-0.011690918,-0.025487702,2006-07,2006-Q3,269100,-0.232998885,2004-05
9/30/2016,66737,21034,MD,Baltimore,Harford,Darlington,10533,235100,0.002131287,0.018189693,0.033861038,0.000681954,-0.018684353,2007-01,2007-Q1,289000,-0.18650519,2005-02
9/30/2016,63316,13825,NY,Oneonta,Otsego,Town of Otego,10534,133800,-0.001492537,0.006772009,0.051060487,0.01647946,0.002346902,2009-03,2009-Q1,137300,-0.025491624,2009-01
9/30/2016,95919,89444,NV,Gardnerville Ranchos,Douglas,Wellington,10535,294600,0.010634648,0.032235459,0.073224044,0.062758539,-0.028110632,2008-04,2008-Q2,395800,-0.255684689,2004-06
9/30/2016,64858,17026,PA,Lebanon,Lebanon,Bethel Township,10536,178500,-0.001677852,-0.007782101,-0.017611447,0.003624515,0.002729611,2015-06,2015-Q2,182900,-0.024056862,2013-06
9/30/2016,78258,46773,IN,Fort Wayne,Allen,Monroeville,10537,110600,-0.000903342,-0.028972783,0.026926648,0.029793986,0.000181012,2016-05,2016-Q2,115700,-0.044079516,2016-01
9/30/2016,81501,53941,WI,Baraboo,Sauk,La Valle,10538,192700,-0.002587992,-0.007723996,0.064053009,0.025142956,,2009-11,2009-Q4,242300,-0.204704911,
9/30/2016,63429,14125,NY,Batavia,Genesee,Town of Oakfield,10539,93200,0.002150538,-0.001071811,0.037861915,0.026437527,0.019410159,2016-06,2016-Q2,93300,-0.001071811,2016-06
9/30/2016,65972,19505,PA,Reading,Berks,Washington Township,10540,183800,0.004371585,0.01323043,0.027389603,-0.000108778,-0.014311814,2008-02,2008-Q1,220100,-0.164925034,2005-02
9/30/2016,73581,35741,AL,Huntsville,Madison,Huntsville,10541,244300,-0.001634655,-0.002042484,0.005349794,0.00322374,0.006796635,2008-10,2008-Q4,248700,-0.017691998,2008-05
9/30/2016,91319,76233,TX,Sherman,Grayson,Collinsville,10542,130100,0.014029618,0.033359809,0.105352591,0.068071409,0.031942191,2016-09,2016-Q3,130100,0,2016-09
9/30/2016,60821,7832,NJ,Allentown,Warren,Knowlton Township,10543,250500,0.004008016,0.004813478,0.05163728,0.014589496,-0.028329246,2006-07,2006-Q3,336300,-0.255129349,2003-04
9/30/2016,74342,37373,TN,Chattanooga,Hamilton,Sale Creek,10544,143100,0.00491573,0.019957234,0.046052632,0.029066854,0.012166684,2016-09,2016-Q3,143100,0,2016-09
9/30/2016,75287,39421,MS,,Jefferson Davis,Bassfield,10545,93900,0.008592911,0.031868132,0.029605263,0.005852155,0.03572966,2016-09,2016-Q3,93900,0,2016-09
9/30/2016,69753,28159,NC,Charlotte,Rowan,Spencer,10546,89100,-0.003355705,0.005643341,0.127848101,0.010657956,-0.004381857,2007-12,2007-Q4,98600,-0.096348884,2004-08
9/30/2016,78710,47638,IN,Evansville,Posey,Wadesville,10547,148200,-0.00269179,-0.013972056,-0.006702413,0.019740779,0.009073855,2015-11,2015-Q4,151000,-0.018543046,2015-09
9/30/2016,95775,89040,NV,Las Vegas,Clark,Overton,10548,145000,0.015406162,0.030561478,0.0804769,0.072675724,-0.054107205,2007-01,2007-Q1,253600,-0.428233438,2003-12
